Country,Currency Outside Banks,Norminal GDP,Cash/to/GDP Ratio,GNI,LOG_GNI,Popul_Count,Per_capita_GNI,CPI_15,Inv_cpi,sca_cpi
Japan,984299,5290300,18.61,38840,8.103661687,127000000,0.999673008,75,0.013333333,2.914301478
Hong Kong,351292,2397124,14.65,41000,6.863661834,7306000,0.999958938,75,0.013333333,2.914301478
India,15688.53101,125412.08,12.51,1590,9.117619429,131100000,10.00038541,38,0.026315789,11.02331564
Thailand,1539848,13537485,11.37,15210,7.832249274,67960000,0.999990568,38,0.026315789,11.02331564
Switzerland,71275,639731,11.14,61930,6.918105335,8287000,0.999327863,86,0.011627907,1.849069784
China,63216.58,676708,9.34,7900,9.137107139,137100000,10.00160467,37,0.027027027,11.46756433
Russia,7239.145875,80412.5,9,11720,8.158654547,144100000,0.999978279,29,0.034482759,16.1245134
Singapore,34042.3,402457.9,8.46,52090,6.743117782,5535000,1.000000361,85,0.011764706,1.934516253
US,1340.2,18164.8,7.38,55980,8.507071302,321400000,1.000058556,76,0.013157895,2.804720577
Colombia,54083.98774,796648,6.79,7140,7.683305592,48230000,0.999973129,37,0.027027027,11.46756433
Mexico,1088106.264,18889428,5.76,9710,8.103862617,127000000,1.000135622,35,0.028571429,12.4322183
Israel,64517.8,1139825.716,5.66,35770,6.923249201,8380000,1.000011933,61,0.016393443,4.825686761
Korea,84300,1558591.6,5.41,27450,7.704296788,76500000,0.661660719,56,0.017857143,5.739933189
Turkey,91851.927,1953561.332,4.7,9950,7.895786129,78670000,0.999946994,42,0.023809524,9.457869291
Australia,67461,1623767,4.15,60050,7.376389915,23780000,1.000410093,79,0.012658228,2.492621943
UK,75838,1863995,4.07,40550,7.813773483,65140000,0.999828999,81,0.012345679,2.297399693
Indonesia,469379.46,11540789.8,4.07,3440,8.410884849,257600000,0.99985953,36,0.027777778,11.93649336
Canada,74608,1996608,3.74,47250,7.554472321,35850000,0.999961227,83,0.012048193,2.111585993
Chile,5679.27348,156133.737,3.64,14100,7.254019473,17950000,0.999896435,70,0.014285714,3.509171279
Brazil,185285,5388223,3.44,9990,8.317744864,207800000,1.00022872,38,0.026315789,11.02331564
Sth Afc,137991,4034793,3.42,3930,7.74045725,54960000,1.000945718,44,0.022727273,8.781880965
Denmark,64215,1958838,3.28,60270,6.754614565,5676000,1.001318358,91,0.010989011,1.450006871
New Zealand,5127,223626,2.29,40020,6.662351671,4596000,0.999934726,88,0.011363636,1.684002613
Argentina,109.644,5235.517,2.09,12450,7.637657361,43420000,0.999925265,32,0.03125,14.10528926
Sweden,74874,4158728,1.8,57900,6.991190001,9799000,1.000018982,89,0.011235955,1.604251368
Nigeria,1456096.85,95177735,1.53,2790,8.260553049,182200000,1.000010768,26,0.038461538,18.60971152
Norway ,45604.7,3140845,1.45,93530,6.715187357,5196000,0.998891263,87,0.011494253,1.765587723
