Time,Poloniex,Bleutrade,Bter,Profit (1 coin),Coins needed for breakevenProfit to breakeven,
Sat Jun  3 11:09:35 2017,0.00018399,0.00018090,0.00019501,-0.00099736225,380.0,2.345000000000168e-06
Sat Jun  3 11:10:07 2017,0.00018253,0.00018090,0.00019501,-0.00099882225,850.0,1.087499999984001e-06
Sat Jun  3 11:10:38 2017,0.00018253,0.00018090,0.00019501,-0.00099882225,850.0,1.087499999984001e-06
Sat Jun  3 11:11:09 2017,0.00018248,0.00018090,0.00019501,-0.0009988722500000001,887.0,3.142499999933199e-07
Sat Jun  3 11:11:41 2017,0.00018453,0.00018090,0.00019501,-0.00099682225,315.0,9.91249999997149e-07
Sat Jun  3 11:12:12 2017,0.00018453,0.00018090,0.00019501,-0.00099682225,315.0,9.91249999997149e-07
Sat Jun  3 11:12:45 2017,0.00018453,0.00018090,0.00019501,-0.00099682225,315.0,9.91249999997149e-07
Sat Jun  3 11:13:15 2017,0.00018453,0.00018090,0.00019501,-0.00099682225,315.0,9.91249999997149e-07
Sat Jun  3 11:13:47 2017,0.00018445,0.00018090,0.00019501,-0.0009969022500000001,323.0,5.732499999990242e-07
Sat Jun  3 11:14:18 2017,0.00018445,0.00018090,0.00019501,-0.0009969022500000001,323.0,5.732499999990242e-07
Sat Jun  3 11:14:49 2017,0.00018453,0.00018090,0.00019501,-0.00099682225,315.0,9.91249999997149e-07
Sat Jun  3 11:15:21 2017,0.00018454,0.00018090,0.00019501,-0.00099681225,314.0,9.534999999983706e-07
Sat Jun  3 11:15:52 2017,0.00018454,0.00018090,0.00019501,-0.00099681225,314.0,9.534999999983706e-07
Sat Jun  3 11:16:24 2017,0.00018453,0.00018090,0.00019501,-0.00099682225,315.0,9.91249999997149e-07
Sat Jun  3 11:16:56 2017,0.00018453,0.00018090,0.00019501,-0.00099682225,315.0,9.91249999997149e-07
Sat Jun  3 11:17:27 2017,0.00018453,0.00018090,0.00019501,-0.00099682225,315.0,9.91249999997149e-07
Sat Jun  3 11:17:58 2017,0.00018453,0.00018090,0.00019501,-0.00099682225,315.0,9.91249999997149e-07
Sat Jun  3 11:18:30 2017,0.00018453,0.00018090,0.00019501,-0.00099682225,315.0,9.91249999997149e-07
Sat Jun  3 11:19:01 2017,0.00018453,0.00018090,0.00019501,-0.00099682225,315.0,9.91249999997149e-07
Sat Jun  3 11:19:32 2017,0.00018452,0.00018090,0.00019501,-0.00099683225,316.0,1.008999999999732e-06
,,,,-0.019943185,,1.980049999992465e-05
